bioguide,name,opensecrets,rss_url,state,twitter,twitter_id
H001050,Colleen Hanabusa,N00025881,https://hanabusa.house.gov/rss.xml,HI,RepHanabusa,235373000
C001108,James Comer,N00038260,https://comer.house.gov/rss.xml,KY,,
E000296,Dwight Evans,N00038450,https://evans.house.gov/rss.xml,PA,RepDwightEvans,90639372
H001075,Kamala D. Harris,N00036915,,CA,,
K000393,John Kennedy,N00026823,,LA,SenJohnKennedy,816683274076614656
H001076,Margaret Wood Hassan,N00038397,,NH,Senatorhassan,946549322
C001113,Catherine Cortez Masto,N00037161,,NV,sencortezmasto,811313565760163844
S001190,Bradley Scott Schneider,N00033101,http://schneider.house.gov/rss.xml,IL,repschneider,1071840474
S001170,Carol Shea-Porter,N00028091,http://shea-porter.house.gov/rss.xml,NH,repsheaporter,126171100
O000171,Tom O'Halleran,N00037515,,AZ,repohalleran,808416682972770304
B001302,Andy Biggs,N00039293,,AZ,RepAndyBiggsAZ,816652616625168388
K000389,Ro Khanna,N00026427,,CA,RepRoKhanna,816298918468259841
P000613,Jimmy Panetta,N00038601,,CA,RepJimmyPanetta,796736612554117120
C001112,Salud O. Carbajal,N00037015,,CA,RepCarbajal,816157667882373120
B001300,Nanette Diaz Barragán,N00037019,,CA,RepBarragan,816833925456789505
C001110,J. Luis Correa,N00037260,,CA,reploucorrea,815985039485837312
B001303,Lisa Blunt Rochester,N00038414,,DE,RepBRochester,817050219007328258
G000578,Matt Gaetz,N00039503,,FL,Rep_Matt_Gaetz,818948638890217473
D000628,Neal P. Dunn,N00037442,,FL,drnealdunnfl2,815952318487298048
R000609,John H. Rutherford,N00039777,,FL,RepRutherfordFL,828977216595849216
L000586,"Al Lawson, Jr.",N00030642,,FL,RepAlLawsonJr,818472418620608512
M001202,Stephanie N. Murphy,N00040133,,FL,RepStephMurphy,796183515998068736
S001200,Darren Soto,N00037422,,FL,RepDarrenSoto,818713465653051392
D000627,Val Butler Demings,N00033449,,FL,RepValDemings,798973032362606600
C001111,Charlie Crist,N00002942,,FL,repcharliecrist,816030424778543104
M001199,Brian J. Mast,N00037269,,FL,repbrianmast,814103950404239360
R000607,Francis Rooney,N00040007,,FL,RepRooney,816111677917851649
F000465,A. Drew Ferguson IV,N00039090,,GA,RepDrewFerguson,806583915012046854
K000391,Raja Krishnamoorthi,N00033240,,IL,congressmanraja,814179031956488192
B001299,Jim Banks,N00037185,,IN,RepJimBanks,816131319033950208
H001074,Trey Hollingsworth,N00038429,,IN,reptrey,811986281177772032
M001198,Roger W. Marshall,N00037034,,KS,RepMarshall,752364246218862592
H001077,Clay Higgins,N00039953,,LA,RepClayHiggins,843636970538618880
J000299,Mike Johnson,N00039106,,LA,RepMikeJohnson,827279765287559171
B001304,Anthony G. Brown,N00036999,,MD,RepAnthonyBrown,823552974253342721
R000606,Jamie Raskin,N00037036,,MD,repraskin,806906355214852096
B001301,Jack Bergman,N00039533,,MI,RepJackBergman,815241612154417152
M001201,Paul Mitchell,N00036274,,MI,RepPaulMitchell,811632636598910976
L000587,Jason Lewis,N00038400,,MN,RepJasonLewis,816047090849746945
B001305,Ted Budd,N00039551,,NC,RepTedBudd,817138492614524928
B001298,Don Bacon,N00037049,,NE,repdonbacon,818975124460335106
G000583,Josh Gottheimer,N00036944,,NJ,RepJoshG,815310506596691968
R000608,Jacky Rosen,N00038734,,NV,repjackyrosen,818554054309715969
K000390,Ruben Kihuen,N00033530,,NV,RepKihuen,816282029276938240
S001201,Thomas R. Suozzi,N00038742,,NY,RepTomSuozzi,816705409486618624
E000297,Adriano Espaillat,N00034549,,NY,RepEspaillat,817076257770835968
F000464,John J. Faso,N00037288,,NY,RepJohnFaso,815931811348017152
T000478,Claudia Tenney,N00036351,,NY,RepTenney,797201048490430465
F000466,Brian K. Fitzpatrick,N00038779,,PA,repbrianfitz,816303263586914304
S001199,Lloyd Smucker,N00038781,,PA,RepSmucker,41417564
G000582,Jenniffer González-Colón,N00037615,,PR,repjenniffer,819744763020775425
K000392,David Kustoff,N00025445,,TN,repdavidkustoff,816012124505931780
G000581,Vicente Gonzalez,N00038809,,TX,RepGonzalez,818536152588238849
A000375,Jodey C. Arrington,N00038285,,TX,RepArrington,816284664658874368
T000477,Scott Taylor,N00031263,,VA,RepScottTaylor,837722935095930883
M001200,A. Donald McEachin,N00039327,,VA,RepMcEachin,816181091673448448
G000580,"Thomas A. Garrett, Jr.",N00038847,,VA,Rep_Tom_Garrett,818460870573441028
J000298,Pramila Jayapal,N00038858,,WA,RepJayapal,815733290955112448
G000579,Mike Gallagher,N00039330,,WI,RepGallagher,815966620300480514
C001109,Liz Cheney,N00035504,,WY,RepLizCheney,816719802328715264
S001202,Luther Strange,,,AL,SenatorStrange,829794295355940866
